   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 3	 0- 0	 2- 3	    26625.75	Ej Spelad	1.00	 1
 0- 3	 0- 0	 3- 0	    14924.22	 3.505	0.50	 1
 0- 3	 0- 0	 4- 0	    35947.89	Ej Spelad	1.00	 1
 0- 3	 0- 0	 4- 1	    29112.73	Ej Spelad	1.00	 1
 0- 3	 0- 1	 0- 0	     5293.61	 1.647	0.97	 1
 0- 3	 0- 1	 1- 0	     4487.80	 2.331	1.51	 2
 0- 3	 0- 1	 1- 1	     3454.44	 1.893	1.72	 2
 0- 3	 0- 1	 1- 2	     7385.18	 3.542	1.01	 1
 0- 3	 0- 1	 2- 0	     6384.15	 2.731	1.12	 1
 0- 3	 0- 1	 2- 1	     5676.93	 2.304	1.19	 1
 0- 3	 0- 1	 2- 2	     8863.71	 1.967	0.69	 1
 0- 3	 0- 1	 3- 0	    13690.21	Ej Spelad	1.00	 1
 0- 3	 0- 1	 3- 1	    10166.72	 2.573	0.69	 1
 0- 3	 0- 1	 3- 2	    20171.21	Ej Spelad	1.00	 1
 0- 3	 0- 1	 3- 3	    46670.17	Ej Spelad	1.00	 1
 0- 3	 0- 1	 4- 2	    48002.38	Ej Spelad	1.00	 1
 0- 3	 0- 2	 1- 0	     7967.26	 2.189	0.82	 1
 0- 3	 0- 2	 1- 1	     6132.72	 1.422	0.66	 1
 0- 3	 0- 2	 1- 3	    28351.22	Ej Spelad	1.00	 1
 0- 3	 0- 2	 2- 0	    11333.90	 2.308	0.60	 1
 0- 3	 0- 2	 2- 3	    43360.69	Ej Spelad	1.00	 1
 0- 3	 0- 2	 3- 0	    24304.46	Ej Spelad	1.00	 1
 0- 3	 0- 2	 4- 1	    47410.80	Ej Spelad	1.00	 1
 0- 3	 0- 3	 1- 1	    12343.57	 2.119	0.52	 1
 0- 3	 0- 3	 1- 2	    26389.10	Ej Spelad	1.00	 1
 0- 3	 0- 3	 3- 0	    48918.52	Ej Spelad	1.00	 1
 0- 3	 0- 4	 1- 0	    45775.53	Ej Spelad	1.00	 1
 0- 3	 0- 4	 1- 1	    35235.28	Ej Spelad	1.00	 1
 0- 3	 1- 0	 0- 0	     5482.50	 1.590	0.90	 1
 0- 3	 1- 0	 1- 0	     4647.93	 1.251	0.61	 1
 0- 3	 1- 0	 2- 0	     6611.96	 1.319	0.51	 1
 0- 3	 1- 0	 2- 1	     5879.50	 1.483	0.75	 1
 0- 3	 1- 0	 4- 0	    34152.20	Ej Spelad	1.00	 1
 0- 3	 1- 0	 4- 1	    27658.48	Ej Spelad	1.00	 1
 0- 3	 1- 0	 4- 2	    49715.23	Ej Spelad	1.00	 1
 0- 3	 1- 1	 0- 0	     3838.77	 2.271	1.74	 2
 0- 3	 1- 1	 0- 1	     4149.92	 1.576	1.17	 1
 0- 3	 1- 1	 0- 2	     7188.05	 1.455	0.59	 1
 0- 3	 1- 1	 1- 0	     3254.42	 1.607	1.54	 2
 0- 3	 1- 1	 1- 1	     2505.06	 1.392	1.55	 2
 0- 3	 1- 1	 1- 3	    11580.75	 2.259	0.58	 1
 0- 3	 1- 1	 4- 1	    19366.11	Ej Spelad	1.00	 1
 0- 3	 1- 1	 4- 2	    34809.97	Ej Spelad	1.00	 1
 0- 3	 1- 2	 0- 0	     6718.81	 1.946	0.91	 1
 0- 3	 1- 2	 0- 1	     7263.39	 1.800	0.78	 1
 0- 3	 1- 2	 1- 0	     5696.05	 1.312	0.58	 1
 0- 3	 1- 2	 1- 1	     4384.48	 1.326	0.78	 1
 0- 3	 1- 2	 4- 1	    33895.51	Ej Spelad	1.00	 1
 0- 3	 1- 3	 1- 1	    10146.28	 1.719	0.53	 1
 0- 3	 1- 4	 1- 0	    42672.10	Ej Spelad	1.00	 1
 0- 3	 1- 4	 1- 1	    32846.44	Ej Spelad	1.00	 1
 0- 3	 2- 0	 4- 1	    47246.11	Ej Spelad	1.00	 1
 0- 3	 2- 1	 0- 0	     6375.85	 1.641	0.81	 1
 0- 3	 2- 1	 1- 0	     5405.30	 1.383	0.71	 1
 0- 3	 2- 2	 0- 0	     8372.18	 2.083	0.76	 1
 0- 3	 2- 4	 1- 1	    47266.83	Ej Spelad	1.00	 1
 0- 3	 3- 2	 0- 1	    22056.42	Ej Spelad	1.00	 1
 0- 3	 4- 1	 0- 0	    48413.24	Ej Spelad	1.00	 1
 0- 4	 0- 0	 0- 1	    16594.41	Ej Spelad	1.00	 1
