   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 1- 0	 1- 0	 1- 1	      675.68	 1.847	0.29	0.30
 1- 0	 1- 0	 1- 2	     1341.01	 1.318	0.08	0.10
 1- 0	 1- 0	 2- 0	     1216.04	 2.492	0.19	0.20
 1- 0	 1- 0	 2- 1	     1040.39	 2.265	0.21	0.20
 1- 0	 1- 0	 2- 2	     1647.31	 1.840	0.12	0.10
 1- 0	 1- 0	 3- 0	     2585.58	 4.102	0.10	0.10
 1- 0	 1- 0	 3- 1	     2045.07	 3.457	0.12	0.10
 1- 0	 1- 0	 3- 2	     3477.16	 3.050	0.07	0.10
 1- 0	 1- 0	 4- 0	     6587.39	Ej Spelad	0.10	0.10
 1- 0	 1- 1	 0- 0	      706.23	 2.145	0.31	0.30
 1- 0	 1- 1	 0- 1	      823.14	 1.611	0.20	0.20
 1- 0	 1- 1	 1- 0	      601.64	 3.205	0.41	0.40
 1- 0	 1- 1	 1- 1	      461.44	 2.704	0.52	0.50
 1- 0	 1- 1	 1- 2	      915.81	 1.782	0.21	0.20
 1- 0	 1- 1	 1- 3	     2075.98	 1.460	0.07	0.10
 1- 0	 1- 1	 2- 0	      830.47	 4.257	0.30	0.30
 1- 0	 1- 1	 2- 1	      710.51	 3.317	0.35	0.30
 1- 0	 1- 1	 2- 2	     1125.00	 3.142	0.22	0.20
 1- 0	 1- 1	 3- 0	     1765.77	12.013	0.12	0.10
 1- 0	 1- 1	 3- 1	     1396.64	 7.594	0.17	0.20
 1- 0	 1- 1	 3- 2	     2374.66	 4.466	0.10	0.10
 1- 0	 1- 1	 4- 0	     4498.72	Ej Spelad	0.10	0.10
 1- 0	 1- 1	 4- 1	     3825.84	 5.544	0.06	0.10
 1- 0	 1- 1	 4- 2	     5738.75	Ej Spelad	0.10	0.10
 1- 0	 1- 1	 5- 0	    11477.51	Ej Spelad	0.10	0.10
 1- 0	 1- 1	 5- 1	    16578.62	Ej Spelad	0.10	0.10
 1- 0	 1- 2	 0- 0	     1201.11	 2.523	0.19	0.20
 1- 0	 1- 2	 0- 1	     1399.95	 2.165	0.16	0.20
 1- 0	 1- 2	 0- 2	     2333.96	 1.515	0.07	0.10
 1- 0	 1- 2	 1- 0	     1023.24	 5.183	0.24	0.20
 1- 0	 1- 2	 1- 1	      784.79	 5.406	0.31	0.30
 1- 0	 1- 2	 1- 2	     1557.57	 2.724	0.15	0.20
